id,template,count
11,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> e595de2aa7a43c23 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
13,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 4be05ea6abad9cfc <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
14,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> fe3e2e50dd8c977 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
15,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f5a25379e663b770 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
17,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> fa2c1f7f4a3ef1be <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
18,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 7dd5c844a1ae44aa <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
21,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f0772a04b084931d <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
22,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f528dfe00d821cee <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
23,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 41186ab0d14339b6 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
24,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 41e2e7aa574a4615 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
25,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f025b35fbd8f1fb8 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
27,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 80cc2a9704ca24f0 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
29,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 1c2f6062f338f2a8 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
31,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> f3108556bfe24739 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
32,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> bbc1db715a05428a <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
33,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 8f3ee5e098db8954 <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
34,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> 33d7f7037933b55d <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:> <:*:>,2
64,<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> c5fe3d5b4617a1a0 get a error [Errno 2] No such file or directory: 'resources/source file/source file.csv',2
67,<:TIME:> INFO <:HOST:> <:HOST:> <:POD:> <:*:> <:UID:>-ydDVPRrH-K>1}?T{ &NHS token generate success <:TOKEN:>-MX0 <:*:>,2
70,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> <:*:> call the url <:IP:> and param {'uuid': '<:UID:>'} error --HTTPConnectionPool(host='<:HOST:>', port=9384): Max retries exceeded with url: /login query redis info?uuid=<:UID:> (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at <:*:> Failed to establish a new connection: [Errno 111] Connection refused'))",2
68,"<:TIME:> ERROR <:HOST:> <:HOST:> <:POD:> {traci id} uuid expired, invalid phone request",1
69,"<:TIME:> ERROR <:HOST:> <:POD:> <:FILE METHOD LINE:> 41665ae8ee47ea1c call the url <:IP:> and param {'uuid': '<:UID:>'} error --('Connection aborted.', ConnectionResetError<:FIX MESSAGE:>)",1
